APPCH:010,A,D01L,BET,BET,PA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D01L,BET,ANEYA,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D01L,BET,ANEYA,PA,P,C,EE A,R,   ,PI, ,BET,PA,D, ,      ,1965,0055,1510,0100,+,01600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D01L,NAVIC,NAVIC,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D01L,NAVIC,DURAY,PA,P,C,EE B,L,   ,AF, ,BET,PA,D, ,      ,1965,0120,2200,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D01L,ROLLR,ROLLR,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D01L,ROLLR,NAVIC,PA,E,A,E   ,L,   ,AF, ,BET,PA,D, ,      ,2198,0120,2770,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D01L,ROLLR,DURAY,PA,P,C,EE B,L,   ,AF, ,BET,PA,D, ,      ,1965,0120,2200,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D01L,ULOVE,ULOVE,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D01L,ULOVE,DURAY,PA,P,C,EE B,R,   ,AF, ,BET,PA,D, ,      ,1965,0120,1420,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D01L,WEEKE,WEEKE,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D01L,WEEKE,ULOVE,PA,P,C,E   ,R,   ,AF, ,BET,PA,D, ,      ,1424,0120,0670,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D01L,WEEKE,DURAY,PA,P,C,EE B,R,   ,AF, ,BET,PA,D, ,      ,1965,0120,1420,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D01L, ,DURAY,PA,P,C,E  I, ,   ,IF, ,BET,PA,D, ,      ,1965,0120,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D01L, ,ANEYA,PA,P,C,E  F, ,   ,CF, ,BET,PA,D, ,      ,1965,0055,0160,0065,+,01600,     ,     , ,   ,    ,   ,BET,PA,D, , ,0, ,S;
APPCH:030,D,D01L, ,VIRUC,PA,P,C,E  M, ,   ,CF, ,BET,PA,D, ,      ,1965,0017,0160,0038, ,00399,     ,     , ,   ,-298,   , , , , , ,0, ,S;
APPCH:040,D,D01L, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0160,    ,+,00800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D01L, ,ROLLR,PA,E,A,E   ,L,   ,CF, ,BET,PA,D, ,      ,2772,0120,2770,0120,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D01L, ,ROLLR,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0970,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,I19RY,CATUB,CATUB,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1930,0040,+,01800,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I19RY,RATNE,RATNE,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I19RY,RATNE,CATUB,PA,P,C,EE B, ,010,TF, ,IBET,PA,P,I,      ,    ,    ,    ,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I19RY,TOORR,TOORR,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I19RY,TOORR,CATUB,PA,P,C,EE B, ,010,TF, ,IBET,PA,P,I,      ,    ,    ,    ,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I19RY, ,CATUB,PA,P,C,E  I, ,   ,IF, ,IBET,PA,P,I,      ,0125,0132,    ,    ,J,01800,01800,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I19RY, ,KAYSE,PA,P,C,E  F, ,   ,CF, ,IBET,PA,P,I,      ,0125,0064,1920,0067,H,01800,01800,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:030,I,I19RY, ,RW19R,PA,P,G,G  M, ,   ,CF, ,IBET,PA,P,I,      ,0125,0013,1920,0052, ,00154,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I19RY, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1920,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I19RY, ,ROLLR,PA,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I19RY, ,ROLLR,PA,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,1000,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I19RZ,BET,BET,PA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
